Region of UK,Area of Residence,Year,Visits by region of UK and area of residence,Spendings by region of UK and area of residence,Nights Spent by region of UK and area of residence
All Regions,Europe,2020 Q1,4926000.0,2055.0,25512000.0
All Regions,European Union,2020 Q1,4472000.0,1741.0,23291000.0
All Regions,EU15,2020 Q1,3603000.0,1448.0,16963000.0
All Regions,Other European Union,2020 Q1,869000.0,293.0,6328000.0
All Regions,Other Countries,2020 Q1,1274000.0,1672.0,16967000.0
All Regions,Total World,2020 Q1,6994000.0,4344.0,48012000.0
North East,North America,2020 Q2,,,
North East,Europe,2020 Q2,,,
North East,European Union,2020 Q2,,,
North East,EU15,2020 Q2,,,
North East,Other European Union,2020 Q2,,,
North East,Other Countries,2020 Q2,,,
North East,Total World,2020 Q2,,,
North West,North America,2020 Q2,,,
North West,Europe,2020 Q2,,,
North West,European Union,2020 Q2,,,
North West,EU15,2020 Q2,,,
North West,Other European Union,2020 Q2,,,
North West,Other Countries,2020 Q2,,,
North West,Total World,2020 Q2,,,
Yorkshire and the Humber,North America,2020 Q2,,,
Yorkshire and the Humber,Europe,2020 Q2,,,
Yorkshire and the Humber,European Union,2020 Q2,,,
Yorkshire and the Humber,EU15,2020 Q2,,,
Yorkshire and the Humber,Other European Union,2020 Q2,,,
Yorkshire and the Humber,Other Countries,2020 Q2,,,
Yorkshire and the Humber,Total World,2020 Q2,,,
East Midlands,North America,2020 Q2,,,
East Midlands,Europe,2020 Q2,,,
East Midlands,European Union,2020 Q2,,,
East Midlands,EU15,2020 Q2,,,
East Midlands,Other European Union,2020 Q2,,,
East Midlands,Other Countries,2020 Q2,,,
East Midlands,Total World,2020 Q2,,,
West Midlands,North America,2020 Q2,,,
West Midlands,Europe,2020 Q2,,,
West Midlands,European Union,2020 Q2,,,
West Midlands,EU15,2020 Q2,,,
West Midlands,Other European Union,2020 Q2,,,
West Midlands,Other Countries,2020 Q2,,,
West Midlands,Total World,2020 Q2,,,
East of England,North America,2020 Q2,,,
East of England,Europe,2020 Q2,,,
East of England,European Union,2020 Q2,,,
East of England,EU15,2020 Q2,,,
East of England,Other European Union,2020 Q2,,,
East of England,Other Countries,2020 Q2,,,
East of England,Total World,2020 Q2,,,
London,North America,2020 Q2,,,
London,Europe,2020 Q2,,,
London,European Union,2020 Q2,,,
London,EU15,2020 Q2,,,
London,Other European Union,2020 Q2,,,
London,Other Countries,2020 Q2,,,
London,Total World,2020 Q2,,,
South East,North America,2020 Q2,,,
South East,Europe,2020 Q2,,,
South East,European Union,2020 Q2,,,
South East,EU15,2020 Q2,,,
South East,Other European Union,2020 Q2,,,
South East,Other Countries,2020 Q2,,,
South East,Total World,2020 Q2,,,
South West,North America,2020 Q2,,,
South West,Europe,2020 Q2,,,
South West,European Union,2020 Q2,,,
South West,EU15,2020 Q2,,,
South West,Other European Union,2020 Q2,,,
South West,Other Countries,2020 Q2,,,
South West,Total World,2020 Q2,,,
Total England,North America,2020 Q2,,,
Total England,Europe,2020 Q2,,,
Total England,European Union,2020 Q2,,,
Total England,EU15,2020 Q2,,,
Total England,Other European Union,2020 Q2,,,
Total England,Other Countries,2020 Q2,,,
Total England,Total World,2020 Q2,,,
Scotland,North America,2020 Q2,,,
Scotland,Europe,2020 Q2,,,
Scotland,European Union,2020 Q2,,,
Scotland,EU15,2020 Q2,,,
Scotland,Other European Union,2020 Q2,,,
Scotland,Other Countries,2020 Q2,,,
Scotland,Total World,2020 Q2,,,
Wales,North America,2020 Q2,,,
Wales,Europe,2020 Q2,,,
Wales,European Union,2020 Q2,,,
Wales,EU15,2020 Q2,,,
Wales,Other European Union,2020 Q2,,,
Wales,Other Countries,2020 Q2,,,
Wales,Total World,2020 Q2,,,
All Regions,North America,2020 Q2,,,
All Regions,Europe,2020 Q2,,,
All Regions,European Union,2020 Q2,,,
All Regions,EU15,2020 Q2,,,
All Regions,Other European Union,2020 Q2,,,
All Regions,Other Countries,2020 Q2,,,
All Regions,Total World,2020 Q2,398000.0,218.0,
North East,North America,2020 Q3,,,
North East,Europe,2020 Q3,,,
North East,European Union,2020 Q3,,,
North East,EU15,2020 Q3,,,
North East,Other European Union,2020 Q3,,,
North East,Other Countries,2020 Q3,,,
North East,Total World,2020 Q3,,,
North West,North America,2020 Q3,,,
North West,Europe,2020 Q3,,,
North West,European Union,2020 Q3,,,
North West,EU15,2020 Q3,,,
North West,Other European Union,2020 Q3,,,
North West,Other Countries,2020 Q3,,,
North West,Total World,2020 Q3,,,
Yorkshire and the Humber,North America,2020 Q3,,,
Yorkshire and the Humber,Europe,2020 Q3,,,
Yorkshire and the Humber,European Union,2020 Q3,,,
Yorkshire and the Humber,EU15,2020 Q3,,,
Yorkshire and the Humber,Other European Union,2020 Q3,,,
Yorkshire and the Humber,Other Countries,2020 Q3,,,
Yorkshire and the Humber,Total World,2020 Q3,,,
East Midlands,North America,2020 Q3,,,
East Midlands,Europe,2020 Q3,,,
East Midlands,European Union,2020 Q3,,,
East Midlands,EU15,2020 Q3,,,
East Midlands,Other European Union,2020 Q3,,,
East Midlands,Other Countries,2020 Q3,,,
East Midlands,Total World,2020 Q3,,,
West Midlands,North America,2020 Q3,,,
West Midlands,Europe,2020 Q3,,,
West Midlands,European Union,2020 Q3,,,
West Midlands,EU15,2020 Q3,,,
West Midlands,Other European Union,2020 Q3,,,
West Midlands,Other Countries,2020 Q3,,,
West Midlands,Total World,2020 Q3,,,
East of England,North America,2020 Q3,,,
East of England,Europe,2020 Q3,,,
East of England,European Union,2020 Q3,,,
East of England,EU15,2020 Q3,,,
East of England,Other European Union,2020 Q3,,,
East of England,Other Countries,2020 Q3,,,
East of England,Total World,2020 Q3,,,
London,North America,2020 Q3,,,
London,Europe,2020 Q3,,,
London,European Union,2020 Q3,,,
London,EU15,2020 Q3,,,
London,Other European Union,2020 Q3,,,
London,Other Countries,2020 Q3,,,
London,Total World,2020 Q3,,,
South East,North America,2020 Q3,,,
South East,Europe,2020 Q3,,,
South East,European Union,2020 Q3,,,
South East,EU15,2020 Q3,,,
South East,Other European Union,2020 Q3,,,
South East,Other Countries,2020 Q3,,,
South East,Total World,2020 Q3,,,
South West,North America,2020 Q3,,,
South West,Europe,2020 Q3,,,
South West,European Union,2020 Q3,,,
South West,EU15,2020 Q3,,,
South West,Other European Union,2020 Q3,,,
South West,Other Countries,2020 Q3,,,
South West,Total World,2020 Q3,,,
Total England,North America,2020 Q3,,,
Total England,Europe,2020 Q3,,,
Total England,European Union,2020 Q3,,,
Total England,EU15,2020 Q3,,,
Total England,Other European Union,2020 Q3,,,
Total England,Other Countries,2020 Q3,,,
Total England,Total World,2020 Q3,,,
Scotland,North America,2020 Q3,,,
Scotland,Europe,2020 Q3,,,
Scotland,European Union,2020 Q3,,,
Scotland,EU15,2020 Q3,,,
Scotland,Other European Union,2020 Q3,,,
Scotland,Other Countries,2020 Q3,,,
Scotland,Total World,2020 Q3,,,
Wales,North America,2020 Q3,,,
Wales,Europe,2020 Q3,,,
Wales,European Union,2020 Q3,,,
Wales,EU15,2020 Q3,,,
Wales,Other European Union,2020 Q3,,,
Wales,Other Countries,2020 Q3,,,
Wales,Total World,2020 Q3,,,
All Regions,North America,2020 Q3,,,
All Regions,Europe,2020 Q3,,,
All Regions,European Union,2020 Q3,,,
All Regions,EU15,2020 Q3,,,
All Regions,Other European Union,2020 Q3,,,
All Regions,Other Countries,2020 Q3,,,
All Regions,Total World,2020 Q3,2322000.0,1037.0,
North East,North America,2020 Q4,,,
North East,Europe,2020 Q4,,,
North East,European Union,2020 Q4,,,
North East,EU15,2020 Q4,,,
North East,Other European Union,2020 Q4,,,
North East,Other Countries,2020 Q4,,,
North East,Total World,2020 Q4,,,
North West,North America,2020 Q4,,,
North West,Europe,2020 Q4,,,
North West,European Union,2020 Q4,,,
North West,EU15,2020 Q4,,,
North West,Other European Union,2020 Q4,,,
North West,Other Countries,2020 Q4,,,
North West,Total World,2020 Q4,,,
Yorkshire and the Humber,North America,2020 Q4,,,
Yorkshire and the Humber,Europe,2020 Q4,,,
Yorkshire and the Humber,European Union,2020 Q4,,,
Yorkshire and the Humber,EU15,2020 Q4,,,
Yorkshire and the Humber,Other European Union,2020 Q4,,,
Yorkshire and the Humber,Other Countries,2020 Q4,,,
Yorkshire and the Humber,Total World,2020 Q4,,,
East Midlands,North America,2020 Q4,,,
East Midlands,Europe,2020 Q4,,,
East Midlands,European Union,2020 Q4,,,
East Midlands,EU15,2020 Q4,,,
East Midlands,Other European Union,2020 Q4,,,
East Midlands,Other Countries,2020 Q4,,,
East Midlands,Total World,2020 Q4,,,
West Midlands,North America,2020 Q4,,,
West Midlands,Europe,2020 Q4,,,
West Midlands,European Union,2020 Q4,,,
West Midlands,EU15,2020 Q4,,,
West Midlands,Other European Union,2020 Q4,,,
West Midlands,Other Countries,2020 Q4,,,
West Midlands,Total World,2020 Q4,,,
East of England,North America,2020 Q4,,,
East of England,Europe,2020 Q4,,,
East of England,European Union,2020 Q4,,,
East of England,EU15,2020 Q4,,,
East of England,Other European Union,2020 Q4,,,
East of England,Other Countries,2020 Q4,,,
East of England,Total World,2020 Q4,,,
London,North America,2020 Q4,,,
London,Europe,2020 Q4,,,
London,European Union,2020 Q4,,,
London,EU15,2020 Q4,,,
London,Other European Union,2020 Q4,,,
London,Other Countries,2020 Q4,,,
London,Total World,2020 Q4,,,
South East,North America,2020 Q4,,,
South East,Europe,2020 Q4,,,
South East,European Union,2020 Q4,,,
South East,EU15,2020 Q4,,,
South East,Other European Union,2020 Q4,,,
South East,Other Countries,2020 Q4,,,
South East,Total World,2020 Q4,,,
South West,North America,2020 Q4,,,
South West,Europe,2020 Q4,,,
South West,European Union,2020 Q4,,,
South West,EU15,2020 Q4,,,
South West,Other European Union,2020 Q4,,,
South West,Other Countries,2020 Q4,,,
South West,Total World,2020 Q4,,,
Total England,North America,2020 Q4,,,
Total England,Europe,2020 Q4,,,
Total England,European Union,2020 Q4,,,
Total England,EU15,2020 Q4,,,
Total England,Other European Union,2020 Q4,,,
Total England,Other Countries,2020 Q4,,,
Total England,Total World,2020 Q4,,,
Scotland,North America,2020 Q4,,,
Scotland,Europe,2020 Q4,,,
